isin,country,percentage
LU0908500753,United Kingdom,21.85
LU0908500753,Switzerland,14.84
LU0908500753,France,13.970000000000002
LU0908500753,Germany,12.8
LU0908500753,Netherlands,9.7
LU0908500753,Spain,5.76
LU0908500753,Italy,5.24
LU0908500753,Sweden,4.74
LU0908500753,Denmark,2.71
LU0908500753,Finland,1.8900000000000001
LU0908500753,Belgium,1.51
LU0908500753,Norway,1.19
LU0908500753,Other,3.8
IE00BKM4GZ66,Taiwan,25.540000000000003
IE00BKM4GZ66,China,18.74
IE00BKM4GZ66,South Korea,17.01
IE00BKM4GZ66,India,13.51
IE00BKM4GZ66,Brazil,4.26
IE00BKM4GZ66,South Africa,2.89
IE00BKM4GZ66,Saudi Arabia,2.67
IE00BKM4GZ66,Mexico,1.86
IE00BKM4GZ66,Hong Kong,1.31
IE00BKM4GZ66,Malaysia,1.26
IE00BKM4GZ66,United Arab Emirates,1.25
IE00BKM4GZ66,Thailand,1.25
IE00BKM4GZ66,Poland,1.18
IE00BKM4GZ66,Other,7.2700000000000005
IE00BK5BQT80,United States,58.85
IE00BK5BQT80,Japan,5.92
IE00BK5BQT80,United Kingdom,3.3300000000000005
IE00BK5BQT80,Taiwan,3.15
IE00BK5BQT80,Canada,2.9
IE00BK5BQT80,China,2.58
IE00BK5BQT80,South Korea,2.39
IE00BK5BQT80,Switzerland,2.34
IE00BK5BQT80,France,1.9
IE00BK5BQT80,Germany,1.8500000000000003
IE00BK5BQT80,India,1.6200000000000003
IE00BK5BQT80,Australia,1.5700000000000003
IE00BK5BQT80,Netherlands,1.39
IE00BK5BQT80,Other,10.21
